ProgramId,Name,URL,OpenKeywords,ClosedKeywords,Notes
hhq_hub,Home HeadQuarters - Homeowner Loans & Grants (Syracuse hub),https://www.homehq.org/homeowner-loans-grants,""urgent care;sharp;apply"",""program currently closed;not accepting"",""HHQ hub page: scan for program wording changes"
restore,NYS RESTORE Program (Senior 60+),https://hcr.ny.gov/restore-program,""restore;how to apply;application"",""not accepting;no funding;applications are not being accepted"",""State senior emergency repairs; local admins implement"
access_to_home,NYS Access to Home Program,https://hcr.ny.gov/access-home-program,""access to home;apply;modification"",""not accepting;closed"",""Accessibility modifications"
peace_weatherization,PEACE Inc. Weatherization/Energy Services,https://www.peace-caa.org/programs/energyhousing/,""weatherization;energy;assistance"",""closed;not accepting"",""Energy improvements, potential heating support"
hud_title1,HUD Title I Property Improvement Loan,https://www.hud.gov/program_offices/housing/sfh/title,""title i;property improvement"",""not available;closed"",""Federal loan option"
usda_504,USDA Section 504 Repair Loans & Grants,https://www.rd.usda.gov/programs-services/single-family-housing-programs/single-family-housing-repair-loans-grants-18,""repair loans;repair grants;how do we get started"",""not currently funded;closed"",""Federal program; rural eligibility usually outside city core"
"hhq_homeowner","Home HeadQuarters – Homeowner Loans & Grants (master page)","https://www.homehq.org/homeowner-loans-grants","apply now;applications open;urgent care;accepting applications;available","program currently closed;not accepting;closed","Monitors SHARP + Urgent Care + other HHQ offerings."
"hcr_restore","NYS HCR – RESTORE Program","https://hcr.ny.gov/restore-program","how to apply;application;accepting","applications are not being accepted;not accepting;closed","State program implemented locally; scan for intake changes."
"hcr_access_to_home","NYS HCR – Access to Home Program","https://hcr.ny.gov/access-home-program","how to apply;application;accepting","not accepting;closed","Accessibility modifications; admin changes matter."
"peace_energyhousing","PEACE Inc. – Energy & Housing (Weatherization/EmPower+)","https://www.peace-caa.org/programs/energyhousing/","weatherization;empower;apply;income-eligible;enroll","not accepting;closed","Local intake language changes are important."
"ondss_heap_apply","Onondaga DSS – HEAP Apply (Emergency/Regular)","https://onondaga.gov/dss/heap/apply/","emergency;heating equipment repair;repair and replacement;apply","closed;not accepting","Watch seasonal opening/closing language."
"occdev_cd","Onondaga County Community Development (Programs including Lead)","https://onondaga.gov/cd/","lead hazard reduction;program;apply;application","closed;not accepting","Program pages can move; monitoring helps catch changes."
"syr_lead_grant","City of Syracuse – Lead Grant Program","https://www.syr.gov/Departments/NBD/Neighborhood-Development/Syracuse-Lead-Grant-Program","currently accepting;apply;applications","applications for 2025 are currently closed;closed","City lead program status changes; county program may remain open."
"hud_title","HUD – Title I Property Improvement (reference page)","https://www.hud.gov/program_offices/housing/sfh/title","title i;property improvement;loan","page not found;404","Not a grant; useful reference; keep link healthy."
